stamp;x;y;z
07/11/2020 12.29.53;-3,6727054;-7,277176;5,8358665
07/11/2020 12.29.53;-3,4871547;-7,2963295;6,137536
07/11/2020 12.29.53;-2,834735;-7,48188;6,493075
07/11/2020 12.29.53;-3,0382419;-7,747637;6,4751186
07/11/2020 12.29.53;-3,3638535;-7,487866;6,2345014
07/11/2020 12.29.53;-3,5541923;-6,5481415;5,7424927
07/11/2020 12.29.53;-2,834735;-7,7608047;6,355408
07/11/2020 12.29.53;-3,1627405;-7,4866686;6,5206084
07/11/2020 12.29.53;-3,3315318;-7,2388687;6,728904
07/11/2020 12.29.53;-3,6978445;-6,823475;5,7365074
07/11/2020 12.29.53;-4,122815;-7,1610575;6,4164605
07/11/2020 12.29.53;-2,754529;-6,801927;6,59004
07/11/2020 12.29.53;-3,2429461;-7,089231;7,013814
07/11/2020 12.29.53;-3,7181952;-6,867768;6,6522894
07/11/2020 12.29.53;-4,295198;-6,453571;6,155493
07/11/2020 12.29.53;-2,7964275;-7,1550717;6,319495
07/11/2020 12.29.53;-2,7569232;-7,716512;6,3685765
07/11/2020 12.29.53;-2,9939492;-7,8446016;5,901707
07/11/2020 12.29.53;-3,4464533;-8,198944;5,315128
07/11/2020 12.29.53;-3,503914;-7,69257;5,5258174
07/11/2020 12.29.53;-2,4959552;-7,120356;6,017826
07/11/2020 12.29.53;-3,2381577;-7,6734166;7,037756
07/11/2020 12.29.53;-4,6579194;-6,8881183;6,2165446
07/11/2020 12.29.53;-3,5326445;-6,3206925;5,66947
07/11/2020 12.29.53;-2,7485435;-7,3442135;6,7504516
07/11/2020 12.29.53;-2,89459;-7,7823524;6,623559
07/11/2020 12.29.53;-3,4249055;-8,1079645;6,3458314
07/11/2020 12.29.53;-3,6224272;-7,524976;4,9188876
07/11/2020 12.29.53;-2,706645;-7,5453267;5,719748
07/11/2020 12.29.53;-2,6539726;-8,699332;5,9388175
07/11/2020 12.29.53;-2,8083985;-8,699332;5,722142
07/11/2020 12.29.53;-4,0462008;-7,326257;5,3259015
